id,company_name,b_cat,ac_term,mxbd_rcvd,bd_issued,1st_rep,affirm_yn,bd_finalized,fapiao_d,payment_d,sup_rem,mx_rem,fpio_f,pymnt_rem
57,ZHONGSHAN DIGIT AUTOMOTIVE TECHNOLOGY LIMITED,C,202405,20240610,20240611,,,,,,*,,,
58,ZHEJIANG SHENGHUABO ELECTRIC APPLIANCE CORPORATION,C,202405,20240610,20240611,20240618,n,,,,,*,,
59,SUZHOU HONGLI AUTOMOTIVE PARTS,C,202405,20240610,20240611,20240611,n,,,,,*,,
60,"OKE PLASTIC (ZHANGJIAGANG) CO., LTD.",C,202405,20240610,20240611,20240611,y,,20240627,,,,,
61,"SHANGHAI GAOQI AUTOMOTIVE COMPONENTS CO., LTD",C,202405,20240610,20240611,,,,,,*,,,
62,SHIDA TONGTAI,A,202401,,20240302,,,20240530,20240619,,,,,
63,SHIDA TONGTAI,A,202402,,20240311,,,20240530,20240619,,,,,
64,SHIDA TONGTAI,A,202403,,20240415,20240415,n,20240416,20240619,,,,,
65,SHIDA TONGTAI,A,202404,,20240507,,,20240619,20240627,,,,,
66,TAIZHOU XINYU,A,202207,20220812,20220902,20220908,n,20221011,20221024,20221128,,,,
67,TAIZHOU XINYU,A,202208,20220903,20221014,20230130,y,,20230203,20231021,,,,
68,TAIZHOU XINYU,A,202209,20221013,20221014,20230130,y,,20230203,20231021,,,,
69,TAIZHOU XINYU,A,202210,20221103,20221107,20221227,y,,20230208,20231021,,,,
70,TAIZHOU XINYU,A,202211,20221208,20221208,20221227,y,,20230203,20231021,,,,
71,TAIZHOU XINYU,A,202212,20230103,20230106,20230107,y,,20230203,20231021,,,,
72,TAIZHOU XINYU,A,202301,20230202,20230208,20230321,n,20230329,20230414,20230428,,,,
73,TAIZHOU XINYU,A,202302,20230307,20230309,20230424,y,,20230516,20230529,,,,
74,TAIZHOU XINYU,A,202303,20230421,20230424,20230424,n,20230505,20230613,20230627,,,,
75,TAIZHOU XINYU,A,202304,20230604,20230712,20231106,n,20231221,20240117,20240205,,,,
76,TAIZHOU XINYU,A,202305,20230726,20230818,20230913,n,20231010,20231115,20231207,,,,
77,TAIZHOU XINYU,A,202306,20230730,20230818,20230913,n,20231225,20240117,20240205,,,,
78,TAIZHOU XINYU,A,202310,20231115,20231208,20231209,n,20231219,,,,,*,
79,TAIZHOU XINYU,A,202311,20231213,20240116,20240204,n,20240506,,,,,*,
80,TAIZHOU XINYU,A,202312,20240117,20240302,20240401,n,,20240522,20240621,,,,
81,TAIZHOU XINYU,A,202401,20240208,20240302,20240401,n,20240602,20240522,20240621,,,,
82,TAIZHOU XINYU,A,202402,20240304,20240311,20240401,n,20240304,20240522,20240621,,,,
83,TAIZHOU XINYU,A,202403,20240403,20240415,20240521,n,20240614,20240627,,,,,
84,TAIZHOU XINYU,A,202404,20240507,20240507,20240521,n,20240518,,,,,*,
